Pump01_HUVEC-Gag-EIF4E_NHLF_Day01	Pump02_HUVEC-Gag-EIF4E_NHLF_Day01	Pump03_HUVEC-Gag-EIF4E_NHLF_Day01	Pump04_HUVEC-Gag-EIF4E_ESC_Day01	Pump05_HUVEC-Gag-EIF4E_ESC_Day01	Pump06_HUVEC-Gag-EIF4E_ESC_Day01	Pump01_HUVEC-Gag-EIF4E_NHLF_Day02	Pump02_HUVEC-Gag-EIF4E_NHLF_Day02	Pump03_HUVEC-Gag-EIF4E_NHLF_Day02	Pump04_HUVEC-Gag-EIF4E_ESC_Day02	Pump05_HUVEC-Gag-EIF4E_ESC_Day02	Pump06_HUVEC-Gag-EIF4E_ESC_Day02	Pump01_HUVEC-Gag-EIF4E_NHLF_Day03	Pump02_HUVEC-Gag-EIF4E_NHLF_Day03	Pump03_HUVEC-Gag-EIF4E_NHLF_Day03	Pump04_HUVEC-Gag-EIF4E_ESC_Day03	Pump05_HUVEC-Gag-EIF4E_ESC_Day03	Pump06_HUVEC-Gag-EIF4E_ESC_Day03	Pump01_HUVEC-Gag-EIF4E_NHLF_Day04	Pump02_HUVEC-Gag-EIF4E_NHLF_Day04	Pump03_HUVEC-Gag-EIF4E_NHLF_Day04	Pump04_HUVEC-Gag-EIF4E_ESC_Day04	Pump05_HUVEC-Gag-EIF4E_ESC_Day04	Pump06_HUVEC-Gag-EIF4E_ESC_Day04	Pump01_HUVEC-Gag-EIF4E_NHLF_Day05	Pump02_HUVEC-Gag-EIF4E_NHLF_Day05	Pump03_HUVEC-Gag-EIF4E_NHLF_Day05	Pump04_HUVEC-Gag-EIF4E_ESC_Day05	Pump05_HUVEC-Gag-EIF4E_ESC_Day05	Pump06_HUVEC-Gag-EIF4E_ESC_Day05	Pump01_HUVEC-Gag-EIF4E_NHLF_Day06	Pump02_HUVEC-Gag-EIF4E_NHLF_Day06	Pump03_HUVEC-Gag-EIF4E_NHLF_Day06	Pump04_HUVEC-Gag-EIF4E_ESC_Day06	Pump05_HUVEC-Gag-EIF4E_ESC_Day06	Pump06_HUVEC-Gag-EIF4E_ESC_Day06	Pump01_HUVEC-Gag-EIF4E_NHLF_Day07	Pump02_HUVEC-Gag-EIF4E_NHLF_Day07	Pump03_HUVEC-Gag-EIF4E_NHLF_Day07	Pump04_HUVEC-Gag-EIF4E_ESC_Day07	Pump05_HUVEC-Gag-EIF4E_ESC_Day07	Pump06_HUVEC-Gag-EIF4E_ESC_Day07	Pump07_Control_NHLF_Day01	Pump07_Control_NHLF_Day02	Pump07_Control_NHLF_Day03	Pump07_Control_NHLF_Day04	Pump07_Control_NHLF_Day05	Pump07_Control_NHLF_Day06	Pump07_Control_NHLF_Day07	Pump08_Control_NHLF_Day01	Pump08_Control_NHLF_Day02	Pump08_Control_NHLF_Day03	Pump08_Control_NHLF_Day04	Pump08_Control_NHLF_Day05	Pump08_Control_NHLF_Day06	Pump08_Control_NHLF_Day07	Pump09_Control_NHLF_Day01	Pump09_Control_NHLF_Day02	Pump09_Control_NHLF_Day03	Pump09_Control_NHLF_Day04	Pump09_Control_NHLF_Day05	Pump09_Control_NHLF_Day06	Pump09_Control_NHLF_Day07
AAAS	0	35.0056	0	0	0	0	134.086	20.3601	0	105.822	9.15458	0	0	0	0	1.54855	2.78673	0	0	0.220137	0	0	0.484782	0	51.3443	0.70733	4.19748	0.328619	0	0	0.102301	0.152292	0	0	12.3142	0.998767	0.126914	11.9908	0	0.835431	1.22991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0	134.084	0.243353	2.69064	0	0.604121	0	35.3218	0.181346	0	0	150.762	15.1736	47.124	0	0.096012	66.0816	9.34405	30.9194	0.109606	0.0803849	0.771811	0	94.2777	10.2097	0	0	0	0.740997	0	16.1213	15.7577	11.96	39.9963	13.2031	48.5714	0.0632034	51.9407	2.99279	8.07832	7.09651	7.59659	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54394	0	0	0	0	0	0	0
AACSP1	0.912031	11.0342	19.92	4.65855	5.07594	9.51457	0	1.18221	0.857427	1.96547	17.3318	0.134411	8.01077	0	0	0.151318	9.53576	3.9227	0	0.172371	1.51829	0.101351	1.70649	1.06775	3.23304	3.04164	5.02987	0.257248	0.269129	3.03513	0.960588	1.77308	3.57189	1.71617	3.76839	0.923277	1.68954	1.78626	0.241624	0.0726459	0	1.53505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	1.09984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	13.8585	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78569	0	0	0	0.138318	0	0	0	0	0	0	0	0	2.84283	0	2.42041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154692	0	0	0	0	0	0.101374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	7.1517	0	0	1.3394	24.9444	0	0	0.404497	0	0	0	0	0	1.70531	0	0	0.612372	0	0	1.21933	1.01181	3.51221	1.09261	0.523496	0	0.100119	0	24.3483	0.251508	0.741296	2.20311	1.49837	2.05878	0.529741	0	13.9591	13.7795	0	0	0	0	3.85933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511786	1.29846	0	0	81.3231	50.055	0	17.5589	0	4.33023	0	0	39.8849	5.07254	0	0	0	0	0	0	0	0	35.1494	0	46.2635	0	0	10.0004	37.4793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	26.9892	2.12406	11.8467	402.2581	18.218	0.326793	37.7248	178.29245	82.6062	130	0.360882	1.29235	22.2385	143.556912	40.2125	103.468	26.7629	251.7762	1.1248	28.0485	69.0456	69.7985	71.5299	139.424	93.3915	131.26	37.3952	107.60405	1.29488	39.2505	89.1798	72.1951	66.487178192	98.1604	45.2559	3.02503	71.7812	66.6233	146.3589	34.4059	53.9961	67.52078	0	0	0	187.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192.985	0
