gene	loading
COL1A1	0.0534184749598746
UACA	0.0523142268587378
EDN1	0.0481590600017215
NUAK1	0.0440802693660002
EGFL7	0.0436804842324307
HTRA1	0.042872265013386
JAG2	0.0400248837906874
ID1	0.0393363178909688
ABL2	0.0389202126962684
CTGF	0.0386653023846253
ARRB1	0.0384517574087154
IGFBP4	0.0375474394345591
ZBTB16	0.0374514401611393
UPP1	0.0357568829918452
ZC3H13	0.0356377948444975
SH3PXD2A	0.0355517912579168
CCND1	0.0352468830421364
PTRF	0.0343168715811573
TSPAN15	0.0342655112904363
SEC14L1	0.0339147649447622
RHOB	0.0334962010578753
YPEL2	0.0331806645894274
CALD1	0.0331752455599827
SGK1	0.0328641405226821
PIM3	0.0326519488278085
THBS1	0.0322598509463605
LBH	0.0318631385238108
PXDN	0.0318267525552713
VASH1	0.0318226649453497
ESM1	0.0317478656263351
MAFK	0.0316576406083899
ATXN1L	0.0316395752603265
TXNDC5	0.0314320654187419
PALLD	0.031203172519074
LRRC32	0.0311947081298321
ARHGEF15	0.0310586330764112
PLXND1	0.0310385741324836
PREX1	0.0308670100808443
KLHDC10	0.0307984117753048
RAB13	0.0307816358274037
ABLIM3	0.0305517274388903
KIAA1147	0.0305273878185511
CD2BP2	0.030383963721449
MACF1	0.0301392130450316
KIFC3	0.0299761539253472
KIAA1462	0.0299002728339426
MLXIP	0.0298969333719433
GAB2	0.0298261847290847
MLEC	0.0295261360495223
ENC1	0.0294375193724833
EIF6	0.0292919344434959
CHD3	0.0292091238270887
BAK1	0.0291691069313022
FAM43A	0.0290777107324185
AGAP3	0.0289619646492036
NBPF14	0.0287329017639444
ARRDC2	0.0286114661350066
SLC9A3R2	0.0285890817084438
TBC1D10B	0.0285040137063115
FRMD4A	0.0284220988158502
PLXNA2	0.0283544932099608
CCDC85B	0.0283347778377265
PRRC2B	0.0282155337269102
INHBA	0.02817079510987
WWC3	0.0281277504566987
AIDA	0.0280762036167409
FAM101B	0.0279778950440039
PODXL	0.0279704685579723
ZNF592	0.02791784617341
SPRY4	0.0278794256006633
RAB31	0.0278644260230701
ARHGAP21	0.0278500065503845
RXRA	0.0278196693865014
EID1	0.0278173107629321
PIN1	0.0276920066130734
PDGFB	0.0276728518217854
RNPEPL1	0.0276080350050258
TRAK2	0.0275901779728418
AFAP1L1	0.0273940022727148
PEA15	0.0273318956529493
SYNM	0.0273149309484286
DMPK	0.0271925972997848
TUBA1B	0.0271582162315108
PGF	0.0271481526628296
LOC541471	0.0271369941547844
MARVELD1	0.0270921604475555
PXN	0.0270845455251593
GPATCH4	0.0270176139522008
PPM1F	0.0270070948085847
LZTS2	0.0269945745778113
MAP4	0.0269114760697353
RAB11FIP5	0.026877055682885
DIAPH1	0.0268681622068767
SEC13	0.0268250152241542
VAMP3	0.0268077302948888
PPM1G	0.0266555080730992
PRELID1	0.0266317855874091
ADIPOR2	0.0266227427266677
COL1A2	0.0265648013803095
COL6A3	0.0265517545783709
TBC1D9B	0.0265234286840496
BRK1	0.0264953611849123
DYNC1LI2	0.0264240741702499
MAP3K3	0.0263325906146515
SACS	0.0263296483429757
TUBA1A	0.0262150288293551
ATOH8	0.0261279888133276
IFFO2	0.0261244667233807
TP53INP2	0.0261034123334239
AKAP13	0.0260586686299059
RBM15B	0.0259382064773337
FAM213B	0.0259296448454344
PKN1	0.025707610580128
IER2	0.0257036304164761
RAB1A	0.0256600979290141
DCAF7	0.0256443371900469
CIZ1	0.0256414864944
CABLES1	0.0256059261498475
UBQLN4	0.0255334640803802
RBM25	0.0255258684425031
CDC42EP1	0.025474269456939
EGLN2	0.025429074279659
PLEKHO1	0.0253656719240591
MTCH1	0.0253545445932589
LATS2	0.0253373506132915
LARP4B	0.0253207287200249
ANKRD13D	0.0253034426529743
SPECC1L	0.0252984751875232
NBPF10	0.0252866049592477
TIMM22	0.0251448519530144
CERK	0.025082387440455
AKAP12	0.024972815118448
AGO2	0.0249423030658734
RC3H2	0.0249356616297846
ZHX3	0.0249185119321948
FAM69B	0.0248699249015622
ACVRL1	0.0248698569572083
C22orf29	0.0248641331968746
SEC61A1	0.0248609799577354
SHC1	0.0247761792038436
USP31	0.0247703774295649
NPLOC4	0.0246916723043448
PHLDA2	0.0246220591328684
BCR	0.024617466161437
SH3BP4	0.0246151931894555
DLC1	0.0246066026056522
SSFA2	0.0245637161577125
TSPAN18	0.0245615223413158
ADARB1	0.0245094913228723
SMG5	0.024450539831014
SNPH	0.0244441879884476
LINC00657	0.0244325804204511
SCRN1	0.0243804472171561
HRAS	0.0243609777811317
ZNF518B	0.0243431513210899
LUZP1	0.0243409413896571
FARP1	0.0242762297420364
LRRC14	0.0242338598365442
PRDX1	0.0242288193253792
SH3TC1	0.0242050008355782
ITPRIPL2	0.0242004548287612
MMP2	0.0241803925244362
